TaxonName,MainID,TimeOfSample,Population,Abundance
Myocastor coypus,9833,1970.01,0.55,550
Myocastor coypus,9833,1970.02,0.55,550
Myocastor coypus,9833,1970.03,0.6,600
Myocastor coypus,9833,1970.04,0.55,550
Myocastor coypus,9833,1970.05,0.5,500
Myocastor coypus,9833,1970.06,0.5,500
Myocastor coypus,9833,1970.07,0.55,550
Myocastor coypus,9833,1970.08,0.6,600
Myocastor coypus,9833,1970.09,0.7,700
Myocastor coypus,9833,1970.1,0.8,800
Myocastor coypus,9833,1970.11,0.7,700
Myocastor coypus,9833,1970.12,0.75,750
Myocastor coypus,9833,1971.01,0.75,750
Myocastor coypus,9833,1971.02,0.7,700
Myocastor coypus,9833,1971.03,0.7,700
Myocastor coypus,9833,1971.04,0.7,700
Myocastor coypus,9833,1971.05,0.65,650
Myocastor coypus,9833,1971.06,0.7,700
Myocastor coypus,9833,1971.07,0.9,900
Myocastor coypus,9833,1971.08,0.9,900
Myocastor coypus,9833,1971.09,1,1000
Myocastor coypus,9833,1971.1,1.1,1100
Myocastor coypus,9833,1971.11,1,1000
Myocastor coypus,9833,1971.12,0.9,900
Myocastor coypus,9833,1972.01,0.9,900
Myocastor coypus,9833,1972.02,0.95,950
Myocastor coypus,9833,1972.03,0.95,950
Myocastor coypus,9833,1972.04,0.9,900
Myocastor coypus,9833,1972.05,0.95,950
Myocastor coypus,9833,1972.06,1.05,1050
Myocastor coypus,9833,1972.07,1.15,1150
Myocastor coypus,9833,1972.08,1.2,1200
Myocastor coypus,9833,1972.09,1.6,1600
Myocastor coypus,9833,1972.1,1.7,1700
Myocastor coypus,9833,1972.11,1.7,1700
Myocastor coypus,9833,1972.12,1.85,1850
Myocastor coypus,9833,1973.01,1.95,1950
Myocastor coypus,9833,1973.02,2,2000
Myocastor coypus,9833,1973.03,2.2,2200
Myocastor coypus,9833,1973.04,2.45,2450
Myocastor coypus,9833,1973.05,2.7,2700
Myocastor coypus,9833,1973.06,2.9,2900
Myocastor coypus,9833,1973.07,3.1,3100
Myocastor coypus,9833,1973.08,3.05,3050
Myocastor coypus,9833,1973.09,3.4,3400
Myocastor coypus,9833,1973.1,3.9,3900
Myocastor coypus,9833,1973.11,3.5,3500
Myocastor coypus,9833,1973.12,3.35,3350
Myocastor coypus,9833,1974.01,3.3,3300
Myocastor coypus,9833,1974.02,2.7,2700
Myocastor coypus,9833,1974.03,2.5,2500
Myocastor coypus,9833,1974.04,2.55,2550
Myocastor coypus,9833,1974.05,2.55,2550
Myocastor coypus,9833,1974.06,2.5,2500
Myocastor coypus,9833,1974.07,2.7,2700
Myocastor coypus,9833,1974.08,2.75,2750
Myocastor coypus,9833,1974.09,2.9,2900
Myocastor coypus,9833,1974.1,3.45,3450
